prd_company,num_movies,com_dom_bo,com_wrld_bo
Dino De Laurentiis,4,"$198,694,051","$456,041,362"
David Entertainment Company,2,"$198,590,336","$447,449,374"
Horseshoe Bay,3,"$198,023,124","$353,149,242"
Kennedy Miller,1,"$198,000,317","$385,000,317"
Wayne Rice,4,"$197,523,151","$417,173,367"
Eidos Interactive,2,"$196,797,941","$430,423,128"
Hey Eddie,3,"$196,742,778","$351,695,429"
Davis Films,11,"$196,662,420","$1,089,122,815"
Sunday Night,4,"$196,639,244","$349,691,590"
Spring Creek Prod,5,"$196,623,743","$390,749,098"
Peters Entertainment,3,"$194,321,493","$331,245,147"
Malek Akkad,2,"$192,739,988","$294,003,028"
Double Dare You,4,"$192,681,035","$582,328,302"
Wind Dancer Films,4,"$192,036,778","$384,276,691"
Paramount Players,11,"$191,254,803","$278,739,568"
Gama Entertainment,2,"$191,216,282","$485,028,891"
Heavy Metal,1,"$191,204,754","$485,004,754"
Mednick Productions,2,"$191,204,754","$485,004,754"
Rough House Pictures,13,"$190,876,331","$296,558,679"
Avi Arad,1,"$190,173,195","$375,243,139"
Sean Daniel Company,4,"$188,354,897","$585,777,363"
Golden Mean,1,"$188,042,855","$312,183,437"
Orion Pictures,29,"$187,258,565","$218,815,451"
Depth of Field,12,"$186,739,495","$535,912,071"
Guy Walks Into a Bar,3,"$186,430,094","$272,113,538"
Wanda Media,21,"$184,393,825","$2,883,104,793"
Overture Films,8,"$183,983,289","$311,771,376"
LBI Entertainment,4,"$183,540,576","$339,789,937"
Matt Groening,1,"$183,135,014","$527,071,022"
Wayans Brothers Entertainment,2,"$182,813,789","$309,424,624"
Smoke House Pictures,4,"$182,763,215","$316,898,188"
Baltimore Spring Creek Pictures,2,"$182,693,512","$328,786,512"
Levantine Films,3,"$181,599,209","$249,929,644"
Pure Flix,16,"$181,268,092","$195,951,590"
Ashok Amritraj,6,"$180,580,570","$229,519,448"
Nuyorican,4,"$180,251,890","$267,177,559"
Geffen Pictures,3,"$179,898,944","$314,679,229"
Momentum Pictures,25,"$179,122,127","$565,888,683"
T.D. Jakes,4,"$178,790,251","$200,676,920"
TPS Star,11,"$178,399,693","$367,968,288"
IMF,6,"$177,965,784","$389,294,809"
China Film Group,8,"$176,830,538","$793,148,523"
Gunnfilms,4,"$176,722,474","$239,087,066"
Amazon Studios,46,"$176,286,624","$337,867,723"
Blueprint Films,15,"$176,180,061","$522,714,206"
Mandalay Vision,10,"$176,125,637","$306,094,086"
Ludlum Entertainment,1,"$176,087,450","$311,001,124"
Hemdale,3,"$176,052,820","$216,071,102"
Automatik,39,"$175,928,141","$292,738,103"
Ivanhoe Pictures,3,"$175,319,554","$289,639,273"
SK Global,4,"$175,087,951","$238,838,834"
Gilbert Films,10,"$175,064,514","$488,345,427"
Electric Somewhere,1,"$174,532,921","$238,099,711"
Gulfstream Pictures,7,"$174,429,511","$364,045,436"
Chris Morgan Productions,2,"$173,956,935","$760,582,290"
Polygram Pictures,5,"$173,869,525","$318,380,585"
Neal Street,3,"$173,826,124","$414,853,067"
Harbinger Pictures,3,"$173,710,166","$224,378,545"
Groucho II Film Partnership,1,"$173,396,389","$465,421,959"
Michael Bay,3,"$172,905,798","$280,054,722"
Lorne Michaels,4,"$172,179,940","$217,085,739"
OddLot Entertainment,8,"$171,662,190","$313,221,878"
Producer Circle Company,1,"$170,687,518","$306,770,545"
