movie_id,item_id,inv_exist,cluster_kmeans
tt0129290,.,0,19
tt1489889,.,0,18
tt1229340,.,0,19
tt1650062,.,0,18
tt0280590,.,0,19
tt0195685,.,0,6
tt6343314,.,0,18
tt5117670,.,0,18
tt0251127,.,0,19
tt0110148,.,0,21
tt7959026,.,0,1
tt1068680,.,0,23
tt2024469,.,0,19
tt0120686,.,0,6
tt0427229,.,0,19
tt0454848,.,0,21
tt4877122,.,0,18
tt1570728,.,0,6
tt6294822,.,0,10
tt0120784,.,0,6
tt0112715,.,0,7
tt0448011,.,0,23
tt0377109,.,0,19
tt1389137,.,0,23
tt1210166,.,0,21
tt0388419,.,0,19
tt0114069,.,0,6
tt1075417,.,0,19
tt0356618,.,0,13
tt0400497,.,0,13
tt0300471,.,0,19
tt0381971,.,0,13
tt1605630,.,0,13
tt1428538,.,0,1
tt1464540,.,0,18
tt0250797,.,0,6
tt3532216,.,0,1
tt0365737,.,0,6
tt0318627,.,0,1
tt2262227,.,0,23
tt0118548,.,0,6
tt0408345,.,0,7
tt0119174,.,0,6
tt0119173,.,0,13
tt2106361,.,0,1
tt1872194,.,0,23
tt0384537,.,0,1
tt0191397,.,0,23
tt0120768,.,0,6
tt2005151,.,0,1
tt0109254,.,0,23
tt0099700,.,0,16
tt0119874,.,0,23
tt0313443,.,0,23
tt0317198,.,0,7
tt0163978,.,0,23
tt0110725,.,0,13
tt1186367,.,0,1
tt0350028,.,0,13
tt3799694,.,0,1
tt0126916,.,0,23
tt0141109,.,0,7
tt1392197,.,0,7
tt0117765,.,0,13
tt1212419,.,0,1
tt0264935,.,0,23
tt0112401,.,0,6
tt5478478,.,0,20
tt1608290,.,0,13
tt0367959,.,0,1
tt0160916,.,0,23
tt1517260,.,0,1
tt0264395,.,0,23
tt2199571,.,0,23
tt0309377,.,0,23
tt0963178,.,0,1
tt0116225,.,0,7
tt0315297,.,0,23
tt5294550,.,0,23
tt0362270,.,0,20
tt0129167,.,0,17
tt1240982,.,0,23
tt1462041,.,0,23
tt1124037,.,0,1
tt1034032,.,0,13
tt0331933,.,0,7
tt0289992,.,0,23
tt1559547,.,0,23
tt0378109,.,0,13
tt0765443,.,0,10
tt0109190,.,0,11
tt0151137,.,0,6
tt0113010,.,0,12
tt1502404,.,0,23
tt0119592,.,0,23
tt0114345,.,0,23
tt0421054,.,0,13
tt0113451,.,0,7
tt0891592,.,0,13
tt0266452,.,0,23
tt4701724,.,0,13
tt0315824,.,0,13
tt0181151,.,0,23
tt1014763,.,0,20
tt1374992,.,0,20
tt0267804,.,0,13
tt1823672,.,0,1
tt0098987,.,0,11
tt1781769,.,0,10
tt0097576,.,0,21
tt0298130,.,0,19
tt0181865,.,0,21
tt0258000,.,0,6
tt0155267,.,0,6
tt7401588,.,0,23
tt0145681,.,0,6
tt0120188,.,0,6
tt0808510,.,0,23
tt0250687,.,0,13
tt0381849,.,0,21
tt0272152,.,0,13
tt0230030,.,0,7
tt0120780,.,0,6
tt0087089,.,0,11
tt0462499,.,0,1
tt1355631,.,0,17
tt0099422,.,0,19
tt2543164,.,0,8
tt0115798,.,0,23
tt0106220,.,0,7
tt0200027,.,0,13
tt0307479,.,0,23
