votes
"53,688"
13
"181,269"
"74,720"
"6,873"
"23,246"
"9,957"
"18,404"
"19,441"
"16,966"
0
"25,862"
"4,730"
"2,547"
"3,942"
"98,663"
"118,920"
"375,084"
"205,961"
"129,168"
"303,153"
"212,509"
"66,486"
"77,010"
"63,827"
"108,327"
"78,984"
"48,861"
"193,003"
"144,853"
"271,610"
"52,298"
"95,506"
"219,420"
"12,933"
"35,395"
"106,291"
"62,342"
"13,439"
"21,445"
"51,882"
"80,636"
"11,869"
"84,524"
"20,416"
"36,439"
"37,229"
"18,279"
"7,274"
"9,662"
"127,954"
"45,035"
"205,053"
"231,227"
"452,495"
"405,312"
"182,441"
"689,726"
10
"97,543"
"112,510"
"1,140,799"
"58,630"
"45,658"
"317,242"
"105,929"
"136,085"
"29,102"
"359,679"
"132,663"
"49,323"
"24,184"
"264,633"
"799,245"
"214,360"
"171,108"
"203,581"
176
"60,274"
"97,161"
"119,120"
"64,572"
"54,712"
"124,348"
"7,152"
"193,641"
15
"79,403"
"63,690"
"76,259"
"31,546"
"954,226"
"108,067"
"694,219"
"42,192"
"88,339"
"61,567"
"16,553"
"119,753"
"26,683"
"480,704"
"13,655"
"7,194"
"52,019"
"32,538"
"81,281"
"59,180"
"41,770"
"15,659"
"56,534"
28
"9,283"
"44,491"
"83,359"
"40,043"
"139,948"
"61,770"
"109,836"
"30,338"
"50,004"
"37,028"
"100,669"
"27,418"
"66,561"
"88,053"
"30,260"
"50,584"
"2,188,727"
"35,653"
"11,335"
"22,683"
"73,914"
"23,588"
"87,444"
"31,241"
"82,628"
"65,765"
"42,248"
"62,771"
"34,848"
"23,895"
"39,743"
"138,873"
"186,940"
"16,237"
"67,520"
"47,636"
"93,786"
"10,038"
"32,199"
"6,943"
"14,087"
349
"4,993"
"26,601"
"86,801"
"10,475"
"18,982"
"194,640"
"4,070"
"19,174"
"12,182"
"72,361"
"415,899"
"19,492"
"46,147"
"7,716"
"33,611"
"20,935"
36
"8,864"
"117,142"
"28,269"
"19,286"
"25,026"
"8,979"
"31,802"
"20,965"
"12,489"
"6,599"
"6,521"
"28,498"
"213,154"
"40,944"
13
"42,291"
"4,150"
"5,325"
"12,269"
"50,001"
"36,692"
"28,980"
"3,501"
"67,301"
"1,610"
"114,038"
"16,684"
"146,656"
"72,202"
"19,732"
"9,329"
"16,553"
"6,373"
"38,639"
"2,825"
1867
"21,693"
"39,174"
"1,390"
"7,935"
718
"1,718"
"74,783"
"148,986"
"15,346"
"207,981"
"196,462"
"19,055"
"91,731"
"105,772"
"44,276"
"70,745"
"146,519"
"75,587"
"65,726"
"156,456"
"12,529"
"18,950"
"123,597"
"168,661"
"7,892"
"153,362"
"32,262"
"83,188"
"96,119"
"13,033"
"25,731"
"17,334"
"13,125"
"128,766"
"18,836"
"11,210"
"41,445"
"14,197"
"2,567"
"5,964"
"494,401"
"141,855"
"99,481"
"290,955"
"224,683"
"68,318"
"218,133"
"28,326"
"210,166"
"218,325"
"24,128"
"22,494"
"6,403"
"61,672"
23
"16,406"
"20,188"
0
"4,395"
"24,252"
"35,050"
"3,683"
"20,475"
"17,660"
"67,089"
"10,155"
"62,998"
0
"164,038"
"246,506"
"218,767"
"68,487"
"186,552"
"280,851"
"90,638"
"104,419"
"55,384"
"30,772"
"68,108"
"17,814"
"54,871"
"72,074"
"211,004"
"244,655"
"57,907"
"20,356"
"138,307"
"69,056"
"39,242"
"61,425"
"72,653"
"115,778"
"144,529"
"15,594"
"53,993"
"47,008"
"6,172"
"19,706"
"101,704"
"21,758"
"37,455"
"34,651"
"30,653"
"37,406"
"3,591"
"20,910"
6
"9,033"
"61,130"
"27,471"
"101,853"
"43,928"
"9,345"
"5,518"
"1,857"
49
"67,179"
